dataset_name,platform,modality,species,tissue,disease,n_samples,data_access_link,origin,source_paper_title,source_paper_doi,source_paper_year,source_paper_id,found_via,data_downloadable
Medulloblastoma PDX ST dataset (control and palbociclib treated),spatial transcriptomics (Visium),spatial transcriptomics,human / mouse,,medulloblastoma,,,reused,Xenomake: a pipeline for processing and sorting xenograft reads from spatial transcriptomic experiments,10.1101/2023.09.04.556109,2023,PMC10508769,literature_search,no link
Human vastus lateralis muscle spatial transcriptomics dataset,Xenium,spatial transcriptomics,Homo sapiens,Vastus lateralis muscle,Osteoporosis and sarcopenia (old patient) / muscle pain after physical exercise (young control),2,,reused,Advancing muscle aging and sarcopenia research through spatial transcriptomics,10.1016/j.afos.2025.05.002,2025,PMC12288932,literature_search,no link
Mouse soleus muscle denervation spatial transcriptomics dataset,Seq-Scope,,Mus musculus,Soleus muscle,Denervation via sciatic nerve transection,11,,reused,Advancing muscle aging and sarcopenia research through spatial transcriptomics,10.1016/j.afos.2025.05.002,2025,PMC12288932,literature_search,no link
Mouse tibialis anterior muscle denervation spatial transcriptomics dataset,Visium,spatial transcriptomics,Mus musculus,Tibialis anterior muscle,Denervation by crushing the sciatic nerve,12,GSE198596,reused,Advancing muscle aging and sarcopenia research through spatial transcriptomics,10.1016/j.afos.2025.05.002,2025,PMC12288932,literature_search,yes (GEO record GSE198596)
Rabbit supraspinatus muscle tenotomy spatial transcriptomics dataset,Visium,spatial transcriptomics,Oryctolagus cuniculus,Supraspinatus muscle,Tenotomy (rotator cuff tear model),2,GSE210773,reused,Advancing muscle aging and sarcopenia research through spatial transcriptomics,10.1016/j.afos.2025.05.002,2025,PMC12288932,literature_search,yes (GEO record GSE210773)
Mouse gastrocnemius muscle dystrophy spatial transcriptomics dataset,Visium,spatial transcriptomics,Mus musculus,Gastrocnemius muscle,Dystrophic (severe muscular dystrophy),8,GSE225766,reused,Advancing muscle aging and sarcopenia research through spatial transcriptomics,10.1016/j.afos.2025.05.002,2025,PMC12288932,literature_search,yes (GEO record GSE225766)
Mouse tibialis anterior and gastrocnemius muscle injury/dystrophy spatial transcriptomics dataset,Visium,spatial transcriptomics,Mus musculus,Tibialis anterior and gastrocnemius muscle,Muscular dystrophy with cardiotoxin-induced muscle injury,12,"GSE161467, GSE223813",reused,Advancing muscle aging and sarcopenia research through spatial transcriptomics,10.1016/j.afos.2025.05.002,2025,PMC12288932,literature_search,"yes (GEO record GSE161467, first of several listed)"
Mouse gastrocnemius muscle dystrophy spatial transcriptomics dataset (2),Visium,spatial transcriptomics,Mus musculus,Gastrocnemius muscle,Dystrophic mice,12,"GSE225593, GSE226173",reused,Advancing muscle aging and sarcopenia research through spatial transcriptomics,10.1016/j.afos.2025.05.002,2025,PMC12288932,literature_search,"no (GEO lookup failed: HTTPError, first of several listed)"
Human quadriceps muscle sarcoidosis spatial transcriptomics dataset,Visium,spatial transcriptomics,Homo sapiens,Quadriceps muscle,Muscular sarcoidosis,2,GSE243291,reused,Advancing muscle aging and sarcopenia research through spatial transcriptomics,10.1016/j.afos.2025.05.002,2025,PMC12288932,literature_search,yes (GEO record GSE243291)
LIBD (dorso-lateral pre-frontal cortex),Visium,spatial transcriptomics,human,dorso-lateral pre-frontal cortex,healthy,12,spatialLIBD ExperimentHub R Bioconductor packages,reused,DESpace : spatially variable gene detection via differential expression testing of spatial clusters,10.1093/bioinformatics/btae027,2024,PMC10868334,literature_search,"no (free-text description, not a resolvable link)"
Melanoma lymph node,spatial transcriptomics (ST),spatial transcriptomics,,melanoma lymph node biopsies,stage IIIc melanoma,8,https://www.spatialresearch.org/resources-published-datasets/,reused,DESpace : spatially variable gene detection via differential expression testing of spatial clusters,10.1093/bioinformatics/btae027,2024,PMC10868334,literature_search,yes (http 200)
Mouse cerebellum,Slide-seqV2,spatial transcriptomics,mouse,cerebellum,,1,https://singlecell.broadinstitute.org/single_cell/study/SCP948,reused,DESpace : spatially variable gene detection via differential expression testing of spatial clusters,10.1093/bioinformatics/btae027,2024,PMC10868334,literature_search,yes (http 200)
Spatial omics datasets,,,,,,,,reused,Modeling Spatial Correlation of Transcripts with Application to Developing Pancreas,10.1038/s41598-019-41951-2,2019,PMC6447534,literature_search,no link
Moffit dataset,MERFISH,spatial transcriptomics,mouse,hypothalamic preoptic region,naive,,https://datadryad.org/stash/dataset/doi:10.5061/dryad.8t8s248,reused,Gene panel selection for targeted spatial transcriptomics,10.1101/2023.02.03.527053,2023,PMC10054990,literature_search,yes (http 200)
Codeluppi dataset,osmFISH,spatial transcriptomics,mouse,cortex,,,http://linnarssonlab.org/osmFISH/,reused,Gene panel selection for targeted spatial transcriptomics,10.1101/2023.02.03.527053,2023,PMC10054990,literature_search,yes (http 200)
Zhang dataset,DARTFISH,,human,kidney,healthy,,https://zenodo.org/record/6727546,reused,Gene panel selection for targeted spatial transcriptomics,10.1101/2023.02.03.527053,2023,PMC10054990,literature_search,"yes (zenodo record, 1 files)"
SpatialGlue synthetic multi-omics dataset,,,,,synthetic,,https://zenodo.org/records/7879713#.ZE3aOnZByUk,reused,Learning single-cell spatial context through integrated spatial multiomics with CORAL,10.1101/2025.02.01.636038,2025,bio_9cbaa1b27021,literature_search,"yes (zenodo record, 2 files)"
MERFISH mouse primary motor cortex dataset,MERFISH,spatial transcriptomics,mouse,brain (primary motor cortex),healthy,,https://github.com/YangLabHKUST/SpatialScope,reused,Learning single-cell spatial context through integrated spatial multiomics with CORAL,10.1101/2025.02.01.636038,2025,bio_9cbaa1b27021,literature_search,yes (http 200)
scDesign3 synthetic spatial CITE-seq dataset,CITE-seq,,,,synthetic,,https://figshare.com/ndownloader/files/40581968,reused,Learning single-cell spatial context through integrated spatial multiomics with CORAL,10.1101/2025.02.01.636038,2025,bio_9cbaa1b27021,literature_search,unverified (server answered http 202)
Stereo-CITE-seq mouse thymus dataset,Stereo-CITE-seq,,mouse,thymus,healthy,,https://zenodo.org/records/7879713#.ZE3aOnZByUk,reused,Learning single-cell spatial context through integrated spatial multiomics with CORAL,10.1101/2025.02.01.636038,2025,bio_9cbaa1b27021,literature_search,"yes (zenodo record, 2 files)"
Hepatocellular carcinoma CODEX and Visium dataset,CODEX and Visium,spatial proteomics,human,liver (tumor),hepatocellular carcinoma,4,,generated,Learning single-cell spatial context through integrated spatial multiomics with CORAL,10.1101/2025.02.01.636038,2025,bio_9cbaa1b27021,literature_search,no link
Human dorsolateral prefrontal cortex (DLPFC) dataset,10x Visium,spatial transcriptomics,Human,Dorsolateral prefrontal cortex,neurotypical,12,https://github.com/LieberInstitute/spatialDLPFC,reused,Spatial geometry-aware deep learning for deciphering tissue structure from spatially resolved transcriptomics,10.1101/2025.05.11.652625,2025,bio_f3e689137117,literature_search,yes (http 200)
Mouse anterior and posterior brain datasets,10x Visium,spatial transcriptomics,Mouse,Brain,healthy,,https://www.10xgenomics.com/resources/datasets,reused,Spatial geometry-aware deep learning for deciphering tissue structure from spatially resolved transcriptomics,10.1101/2025.05.11.652625,2025,bio_f3e689137117,literature_search,yes (http 200)
Human breast cancer dataset,10x Visium,spatial transcriptomics,Human,Breast,Breast cancer (BRCA),,https://www.10xgenomics.com/resources/datasets,reused,Spatial geometry-aware deep learning for deciphering tissue structure from spatially resolved transcriptomics,10.1101/2025.05.11.652625,2025,bio_f3e689137117,literature_search,yes (http 200)
osmFISH mouse somatosensory cortex dataset,osmFISH,spatial transcriptomics,Mouse,Somatosensory cortex,healthy,,http://linnarssonlab.org/osmFISH/,reused,Spatial geometry-aware deep learning for deciphering tissue structure from spatially resolved transcriptomics,10.1101/2025.05.11.652625,2025,bio_f3e689137117,literature_search,yes (http 200)
STARmap mouse visual cortex dataset,STARmap,spatial transcriptomics,Mouse,Visual cortex,healthy,,https://kangaroo-goby.squarespace.com/data,reused,Spatial geometry-aware deep learning for deciphering tissue structure from spatially resolved transcriptomics,10.1101/2025.05.11.652625,2025,bio_f3e689137117,literature_search,no (http 404)
Stereo-seq mouse embryo dataset,Stereo-seq,spatial transcriptomics,Mouse,Embryo (organogenesis),embryonic development,4,https://db.cngb.org/stomics/mosta/,reused,Spatial geometry-aware deep learning for deciphering tissue structure from spatially resolved transcriptomics,10.1101/2025.05.11.652625,2025,bio_f3e689137117,literature_search,yes (http 200)
Human DLPFC 10x Genomics Visium dataset,10x Genomics Visium,spatial transcriptomics,human,dorsolateral prefrontal cortex,healthy,12,http://spatial.libd.org/spatialLIBD/,reused,SPACE: Spatially variable gene clustering adjusting for cell type effect for improved spatial domain detection,10.1101/2024.08.23.609477,2024,PMC11370608,literature_search,yes (http 200)
HER2 breast tumor data,Spatial Transcriptomics,,human,breast tumor,HER2-positive breast tumor,1,https://github.com/shangll123/SpatialPCA_analysis_codes,reused,SPACE: Spatially variable gene clustering adjusting for cell type effect for improved spatial domain detection,10.1101/2024.08.23.609477,2024,PMC11370608,literature_search,yes (http 200)
Human breast cancer dataset,Spatial Transcriptomics,,human,breast,breast cancer,1,,reused,SPACE: Spatially variable gene clustering adjusting for cell type effect for improved spatial domain detection,10.1101/2024.08.23.609477,2024,PMC11370608,literature_search,no link
Pancreatic ductal adenocarcinoma (PDAC) dataset,Spatial Transcriptomics,,human,pancreas,pancreatic ductal adenocarcinoma,1,,generated,SPACE: Spatially variable gene clustering adjusting for cell type effect for improved spatial domain detection,10.1101/2024.08.23.609477,2024,PMC11370608,literature_search,no link
Simulated multi-omics datasets (Simulations 1-7),scMultiSim and non-negative spatial factorization / synthetic imaging,,,,simulated,7,,reused,SpaMOAL: A spatial multi-omics graph contrastive learning method for spatial domains identification,10.64898/2026.02.23.707433,2026,bio_5674c84076ef,literature_search,no link
Mouse brain development dataset (MISAR-seq),MISAR-seq,,mouse,brain,developing,4,OEP003285,reused,SpaMOAL: A spatial multi-omics graph contrastive learning method for spatial domains identification,10.64898/2026.02.23.707433,2026,bio_5674c84076ef,literature_search,"no (free-text description, not a resolvable link)"
Juvenile mouse brain dataset (P22 coronal section),"spatial ATAC-RNA-seq and CUT&Tag-seq (H3K4me3, H3K27ac, H3K27me3, ATAC)",,mouse,brain,healthy,1,,reused,SpaMOAL: A spatial multi-omics graph contrastive learning method for spatial domains identification,10.64898/2026.02.23.707433,2026,bio_5674c84076ef,literature_search,no link
Embryonic day 13 (E13) mouse brain dataset,spatial ATAC-RNA-seq,,mouse,brain,developing,1,https://cells.ucsc.edu/?ds=brain-spatial-omics,reused,SpaMOAL: A spatial multi-omics graph contrastive learning method for spatial domains identification,10.64898/2026.02.23.707433,2026,bio_5674c84076ef,literature_search,yes (http 200)
10x Visium human breast cancer dataset,"10x Visium (spatial transcriptomics, spatial proteomics, histological imaging)",spatial transcriptomics,human,breast cancer,breast cancer,1,https://www.10xgenomics.com/resources/datasets/gene-and-protein-expression-library-of-human-breast-cancer-cytassist-ffpe-2-standard,reused,SpaMOAL: A spatial multi-omics graph contrastive learning method for spatial domains identification,10.64898/2026.02.23.707433,2026,bio_5674c84076ef,literature_search,yes (http 200)
Spatial transcriptomics of mouse lungs after immunization,Visium,spatial transcriptomics,mouse,lung,immunization and re-challenge with Klebsiella pneumoniae,4,GSE190225,generated,Integrative analysis of spatial transcriptome with single-cell transcriptome and single-cell epigenome in mouse lungs after immunization,10.1016/j.isci.2022.104900,2022,PMC9418911,literature_search,yes (GEO record GSE190225)
Spatially-sorted hepatocyte RNA sequencing dataset,mcSCRB-seq,,mouse,liver,healthy,40,PRJNA556572,generated,Spatial sorting enables comprehensive characterization of liver zonation,10.1038/s42255-019-0109-9,2019,PMC6751089,literature_search,yes (ENA PRJNA556572)
Spatially-sorted hepatocyte mass spectrometry proteomics dataset,LC-MS/MS,,mouse,liver,healthy,40,PXD014512,generated,Spatial sorting enables comprehensive characterization of liver zonation,10.1038/s42255-019-0109-9,2019,PMC6751089,literature_search,yes (PRIDE PXD014512)
Spatially-sorted hepatocyte miRNA microarray dataset,Mouse miRNA Microarray,,mouse,liver,healthy,24,GSE134827,generated,Spatial sorting enables comprehensive characterization of liver zonation,10.1038/s42255-019-0109-9,2019,PMC6751089,literature_search,yes (GEO record GSE134827)
Human dorsolateral prefrontal cortex dataset,10x Visium,spatial transcriptomics,human,dorsolateral prefrontal cortex,,12,,reused,Spatial transcriptomic data denoising and domain identification by a community strength-augmented graph autoencoder,10.1093/bib/bbaf540,2025,PMC12513172,literature_search,no link
Human primary pancreatic cancer dataset,ST technology,spatial transcriptomics,human,pancreas,pancreatic cancer,,,reused,Spatial transcriptomic data denoising and domain identification by a community strength-augmented graph autoencoder,10.1093/bib/bbaf540,2025,PMC12513172,literature_search,no link
Healthy mouse hypothalamic preoptic dataset,MERFISH,spatial transcriptomics,mouse,hypothalamic preoptic region,healthy,5,,reused,Spatial transcriptomic data denoising and domain identification by a community strength-augmented graph autoencoder,10.1093/bib/bbaf540,2025,PMC12513172,literature_search,no link
Mouse olfactory bulb dataset,Slide-seqV2,spatial transcriptomics,mouse,olfactory bulb,,,,reused,Spatial transcriptomic data denoising and domain identification by a community strength-augmented graph autoencoder,10.1093/bib/bbaf540,2025,PMC12513172,literature_search,no link
allam2022spatially,IMC,spatial proteomics,human,lung,lung cancer,26,https://zenodo.org/records/6784253,reused,Spatially variant immune infiltration scoring in human cancer tissues,https://www.nature.com/articles/s41698-022-00305-4,2022,usr_7f070a9270d4,VirTues_spora_corpus,"yes (zenodo record, 1 files)"
borner2025collection,CODEX,spatial proteomics,human,,,15,https://portal.hubmapconsortium.org/search/datasets,reused,The human body at cellular resolution: the NIH Human Biomolecular Atlas Program,https://www.nature.com/articles/s41586-019-1629-x,2025,usr_7f070a9270d4,VirTues_spora_corpus,yes (http 200)
cho2025modeling,IMC,spatial proteomics,human,pancreatic,pancreatic cancer,12,https://zenodo.org/records/15601931,reused,Modeling cellular influence delineates functionally relevant cellular neighborhoods in primary and metastatic pancreatic ductal adenocarcinoma,https://pmc.ncbi.nlm.nih.gov/articles/PMC12262348/,2025,usr_7f070a9270d4,VirTues_spora_corpus,"yes (zenodo record, 7 files)"
cords2023cancer,IMC,spatial proteomics,human,breast,breast cancer,12,https://zenodo.org/records/7540604,reused,Cancer-associated fibroblast classification in single-cell and spatial proteomics data,https://www.nature.com/articles/s41467-023-39762-1,2023,usr_7f070a9270d4,VirTues_spora_corpus,"yes (zenodo record, 5 files)"
cords2024cancer,IMC,spatial proteomics,human,lung,lung cancer,1361,https://zenodo.org/records/7961844,reused,Cancer-associated fibroblast phenotypes are associated with patient outcome in non-small cell lung cancer,https://www.cell.com/cancer-cell/fulltext/S1535-6108(23)00449-X,2024,usr_7f070a9270d4,VirTues_spora_corpus,"yes (zenodo record, 24 files)"
damond2019map,IMC,spatial proteomics,human,,,12,https://data.mendeley.com/datasets/cydmwsfztj/1,reused,A map of human type 1 diabetes progression by imaging mass cytometry,https://www.cell.com/cell-metabolism/fulltext/S1550-4131(18)30691-0,2019,usr_7f070a9270d4,VirTues_spora_corpus,yes (http 200)
danenberg2022breast,IMC,spatial proteomics,human,breast,breast cancer,718,https://zenodo.org/records/5850952,reused,Breast tumor microenvironment structures are associated with genomic features and clinical outcome,https://www.nature.com/articles/s41588-022-01041-y,2022,usr_7f070a9270d4,VirTues_spora_corpus,"yes (zenodo record, 1 files)"
ehret2025shaking,IMC,spatial proteomics,human,colorectal,colorectal cancer,55,https://zenodo.org/records/15198804,reused,"Shaking organoid co-cultures: human-relevant models of epithelial, stromal and immune interactions for cancer research and immunotherapy development",https://zenodo.org/records/15198804,2025,usr_7f070a9270d4,VirTues_spora_corpus,"yes (zenodo record, 2 files)"
fischer2023multiplex,IMC,spatial proteomics,human,breast,breast cancer,892,https://doi.org/10.5281/zenodo.7494727,reused,Multiplex imaging of breast cancer lymph node metastases identifies prognostic single-cell populations independent of clinical classifiers,https://www.sciencedirect.com/science/article/pii/S2666379123000836,2023,usr_7f070a9270d4,VirTues_spora_corpus,"yes (zenodo record, 2 files)"
gupta2026single,IMC,spatial proteomics,human,,healthy,527,https://zenodo.org/records/18418221,reused,Single-cell spatial atlas of the aging human breast,https://www.nature.com/articles/s43587-026-01104-3,2026,usr_7f070a9270d4,VirTues_spora_corpus,"yes (zenodo record, 1 files)"
hickey2023organization,CODEX,spatial proteomics,human,,,8,https://datadryad.org/stash/dataset/doi:10.5061/dryad.gmsbcc2sq,reused,Organization of the human intestine at single-cell resolution,https://www.nature.com/articles/s41586-023-05915-x,2023,usr_7f070a9270d4,VirTues_spora_corpus,yes (http 200)
hoch2022multiplexed,IMC,spatial proteomics,human,skin (melanoma),skin (melanoma),35,https://zenodo.org/records/6004986,reused,Multiplexed imaging mass cytometry of the chemokine milieus in melanoma characterizes features of the response to immunotherapy,https://www.science.org/doi/full/10.1126/sciimmunol.abk1692,2022,usr_7f070a9270d4,VirTues_spora_corpus,"yes (zenodo record, 1 files)"
hu2023single,IMC,spatial proteomics,human,lung,lung cancer,12,https://zenodo.org/records/6784251,reused,Single-cell spatial metabolomics with cell-type specific protein profiling for tissue systems biology,https://www.nature.com/articles/s41467-023-43917-5,2023,usr_7f070a9270d4,VirTues_spora_corpus,"yes (zenodo record, 1 files)"
jackson2020single,IMC,spatial proteomics,human,breast,breast cancer,285,https://zenodo.org/records/3518284,reused,The single-cell pathology landscape of breast cancer,https://www.nature.com/articles/s41586-019-1876-x,2020,usr_7f070a9270d4,VirTues_spora_corpus,"yes (zenodo record, 3 files)"
lin2022multiplexed,CODEX,spatial proteomics,human,colorectal,colorectal cancer,6,https://humantumoratlas.org/explore,reused,Multiplexed 3D atlas of state transitions and immune interaction in colorectal cancer,https://www.sciencedirect.com/science/article/pii/S0092867422015719,2022,usr_7f070a9270d4,VirTues_spora_corpus,yes (http 200)
lin2023high,Orion,spatial proteomics,human,colorectal,colorectal cancer,40,https://www.tissue-atlas.org/atlas-datasets/lin-chen-campton-2023/,reused,High-plex immunofluorescence imaging and traditional histology of the same tissue section for discovering image-based biomarkers,https://www.nature.com/articles/s43018-023-00576-1,2023,usr_7f070a9270d4,VirTues_spora_corpus,yes (http 200)
liu2022reproducible,MIBI,spatial proteomics,human,"breast, colorectal","breast, colorectal cancer",28,https://zenodo.org/records/5945388,reused,"Reproducible, high-dimensional imaging in archival human tissue by multiplexed ion beam imaging by time-of-flight (MIBI-TOF)",https://www.sciencedirect.com/science/article/pii/S0023683722002112,2022,usr_7f070a9270d4,VirTues_spora_corpus,"yes (zenodo record, 3 files)"
malchiodi2024natural,IMC,spatial proteomics,human,"pancreatic, other disease","pancreatic, other disease cancer",63,https://zenodo.org/records/10582038,reused,Periductal fibroblast density defines lymphocyte exclusion via a CD44-dependent stromal checkpoint in pancreatic cancer,https://www.biorxiv.org/content/10.1101/2024.05.23.593868v3,2024,usr_7f070a9270d4,VirTues_spora_corpus,"yes (zenodo record, 9 files)"
meyer2025stratification,IMC,spatial proteomics,human,breast,breast cancer,215,https://zenodo.org/records/10942609,reused,A stratification system for breast cancer based on basoluminal tumor cells and spatial tumor architecture,https://www.sciencedirect.com/science/article/pii/S1535610825002697,2025,usr_7f070a9270d4,VirTues_spora_corpus,"yes (zenodo record, 2 files)"
moldoveanu2022spatially,IMC,spatial proteomics,human,skin (melanoma),skin (melanoma),90,https://zenodo.org/records/5903190,reused,Spatially mapping the immune landscape of melanoma using imaging mass cytometry,https://www.science.org/doi/10.1126/sciimmunol.abi5072,2022,usr_7f070a9270d4,VirTues_spora_corpus,"yes (zenodo record, 1 files)"
monkman2024spatial,CODEX,spatial proteomics,human,lung,lung cancer,42,https://zenodo.org/records/10258578,reused,Spatial insights into immunotherapy response in non-small cell lung cancer (NSCLC) by multiplexed tissue imaging,https://translational-medicine.biomedcentral.com/articles/10.1186/s12967-024-05035-8,2024,usr_7f070a9270d4,VirTues_spora_corpus,"yes (zenodo record, 45 files)"
phillips2021immune,CODEX,spatial proteomics,human,lymph node,lymphoma cancer,14,https://immunoatlas.org/NOLN/210920-1,reused,Immune cell topography predicts response to PD-1 blockade in cutaneous T cell lymphoma,https://www.nature.com/articles/s41467-021-26974-6,2021,usr_7f070a9270d4,VirTues_spora_corpus,yes (http 200)
rigamonti2024integrating,IMC,spatial proteomics,human,lung,lung cancer,108,,reused,"Integrating AI-powered digital pathology and imaging mass cytometry identifies key classifiers of tumor cells, stroma, and immune cells in non-small cell lung cancer",https://aacrjournals.org/cancerres/article/84/7/1165/742042/,2024,usr_7f070a9270d4,VirTues_spora_corpus,no link
ruf2023tumor,CODEX,spatial proteomics,human,liver,liver cancer,17,https://www.cancerimagingarchive.net/collection/codex-imaging-of-hcc/,reused,Tumor-associated macrophages trigger MAIT cell dysfunction at the HCC invasive margin,https://www.sciencedirect.com/science/article/pii/S0092867423008048?via%3Dihub,2023,usr_7f070a9270d4,VirTues_spora_corpus,yes (http 200)
rumberger2025automated,MIBI,spatial proteomics,human,breast,breast cancer,117,https://huggingface.co/datasets/JLrumberger/Pan-Multiplex/tree/main,reused,Automated classification of cellular expression in multiplexed imaging data with Nimbus,https://www.nature.com/articles/s41592-025-02826-9,2025,usr_7f070a9270d4,VirTues_spora_corpus,yes (http 200)
salie2025spatial,IMC,spatial proteomics,human,liver,liver cancer,96,https://zenodo.org/records/10793609,reused,Spatial single-cell profiling and neighbourhood analysis reveal the determinants of immune architecture connected to checkpoint inhibitor therapy outcome in hepatocellular carcinoma,https://gut.bmj.com/content/74/3/451,2025,usr_7f070a9270d4,VirTues_spora_corpus,"yes (zenodo record, 1 files)"
schulz2018simultaneous,IMC,spatial proteomics,human,breast,breast cancer,79,https://data.mendeley.com/datasets/m4b97v7myb/1,reused,Simultaneous multiplexed imaging of mRNA and proteins with subcellular resolution in breast cancer tissue samples by mass cytometry,https://www.cell.com/fulltext/S2405-4712(17)30543-4,2018,usr_7f070a9270d4,VirTues_spora_corpus,yes (http 200)
schulz2024immucan,IMC,spatial proteomics,human,"colorectal, lung, head & neck, breast","colorectal, lung, head & neck, breast cancer",179,https://zenodo.org/records/12912567,reused,Multi-modal image analysis for large-scale cancer tissue studies within IMMUcan,https://www.cell.com/cell-reports-methods/fulltext/S2667-2375(25)00206-1,2024,usr_7f070a9270d4,VirTues_spora_corpus,"yes (zenodo record, 7 files)"
schurch2020coordinated,CODEX,spatial proteomics,human,colorectal,colorectal cancer,102,https://www.cancerimagingarchive.net/collection/crc_ffpe-codex_cellneighs/,reused,Coordinated cellular neighborhoods orchestrate antitumoral immunity at the colorectal cancer invasive front,https://www.sciencedirect.com/science/article/pii/S0092867420308709?via%3Dihub,2020,usr_7f070a9270d4,VirTues_spora_corpus,yes (http 200)
xiao2022multiplexed,IMC,spatial proteomics,human,skin (melanoma),skin (melanoma),26,https://zenodo.org/records/6838169,reused,Multiplexed imaging mass cytometry reveals distinct tumor-immune microenvironments linked to immunotherapy responses in melanoma,https://www.nature.com/articles/s43856-022-00197-2,2022,usr_7f070a9270d4,VirTues_spora_corpus,"yes (zenodo record, 3 files)"
zhuhuman2025spatial,IMC,spatial proteomics,human,lung,lung cancer,62,https://www.synapse.org/Synapse:syn54951674/wiki/626860,reused,Spatial and multiomics analysis of human and mouse lung adenocarcinoma precursors reveals TIM-3 as a putative target for precancer interception,https://www.cell.com/cancer-cell/fulltext/S1535-6108(25)00162-X,2025,usr_7f070a9270d4,VirTues_spora_corpus,yes (http 200)
CosMx NSCLC FFPE (held-out donors),CosMx,spatial transcriptomics,human,lung,non-small cell lung cancer,,https://brukerspatialbiology.com/products/cosmx-spatial-molecular-imager/ffpe-dataset/nsclc-ffpe-data-set/,reused,Multi-scale modeling of human tissues from spatial transcriptomics with TERRA,10.64898/2026.07.29.741565,2026,usr_e71f77c1dcf1,TERRA_paper,no (http 404)
Xenium melanoma (held-out dataset),Xenium,spatial transcriptomics,human,skin,melanoma,1,https://www.10xgenomics.com/datasets/xenium-prime-ffpe-human-skin,reused,Multi-scale modeling of human tissues from spatial transcriptomics with TERRA,10.64898/2026.07.29.741565,2026,usr_e71f77c1dcf1,TERRA_paper,yes (http 200)
"ISS CARTANA healthy reproductive tract (in-house, held-out assay)",ISS (CARTANA),spatial transcriptomics,human,reproductive tract,healthy,6,,generated,Multi-scale modeling of human tissues from spatial transcriptomics with TERRA,10.64898/2026.07.29.741565,2026,usr_e71f77c1dcf1,TERRA_paper,no link
"Xenium skin niche atlas (in-house, 19 patients, ~1.1M cells)",Xenium,spatial transcriptomics,human,skin,,79,,generated,Multi-scale modeling of human tissues from spatial transcriptomics with TERRA,10.64898/2026.07.29.741565,2026,usr_e71f77c1dcf1,TERRA_paper,no link
"Xenium developing human pancreas (7 stages, 8 donors, in-house)",Xenium 5K + custom panel,spatial transcriptomics,human,pancreas (fetal),healthy,12,,generated,Multi-scale modeling of human tissues from spatial transcriptomics with TERRA,10.64898/2026.07.29.741565,2026,usr_e71f77c1dcf1,TERRA_paper,no link
Xenium adult pancreas nPOD (in-house),Xenium 5K + custom panel,spatial transcriptomics,human,pancreas,healthy,4,,generated,Multi-scale modeling of human tissues from spatial transcriptomics with TERRA,10.64898/2026.07.29.741565,2026,usr_e71f77c1dcf1,TERRA_paper,no link
Mouse brain MERFISH benchmark,MERFISH,spatial transcriptomics,mouse,brain,,,https://cellxgene.cziscience.com/collections/0cc8620-8dee-45d0-aef5-23f032a5cf09,reused,Multi-scale modeling of human tissues from spatial transcriptomics with TERRA,10.64898/2026.07.29.741565,2026,usr_e71f77c1dcf1,TERRA_paper,yes (http 200)
Mouse brain STARmap benchmark,STARmap,spatial transcriptomics,mouse,brain,,,https://zenodo.org/records/8327576,reused,Multi-scale modeling of human tissues from spatial transcriptomics with TERRA,10.64898/2026.07.29.741565,2026,usr_e71f77c1dcf1,TERRA_paper,"yes (zenodo record, 83 files)"
HuBMAP spleen and thymus CODEX (pretraining),CODEX,spatial proteomics,human,"spleen, thymus",,,https://portal.hubmapconsortium.org/,reused,A Foundation Model for Spatial Proteomics,10.48550/arXiv.2506.03373,2025,usr_74bab8c690a4,KRONOS_paper,"no (link is a site root, not a dataset)"
ImmunoAtlas (pretraining),multiplexed imaging,spatial proteomics,human,various,,,https://immunoatlas.org/,reused,A Foundation Model for Spatial Proteomics,10.48550/arXiv.2506.03373,2025,usr_74bab8c690a4,KRONOS_paper,"no (link is a site root, not a dataset)"
IBEX dataset (pretraining),IBEX,spatial proteomics,human,various,,,https://zenodo.org/records/5244551,reused,A Foundation Model for Spatial Proteomics,10.48550/arXiv.2506.03373,2025,usr_74bab8c690a4,KRONOS_paper,"yes (zenodo record, 14 files)"
CellDive dataset (pretraining),Cell DIVE,spatial proteomics,human,various,,,https://idr.openmicroscopy.org/,reused,A Foundation Model for Spatial Proteomics,10.48550/arXiv.2506.03373,2025,usr_74bab8c690a4,KRONOS_paper,"no (link is a site root, not a dataset)"
"Private pretraining cohorts (Stanford, NIH-NIAID, U. Florida, BIDMC; ~42M cells)",multiplexed imaging,spatial proteomics,human,various (16 tissue types),,,,generated,A Foundation Model for Spatial Proteomics,10.48550/arXiv.2506.03373,2025,usr_74bab8c690a4,KRONOS_paper,no link
"Classical Hodgkin lymphoma benchmark (cHL, >134k annotated cells)",CODEX,spatial proteomics,human,lymph node,classical Hodgkin lymphoma,,,reused,A Foundation Model for Spatial Proteomics,10.48550/arXiv.2506.03373,2025,usr_74bab8c690a4,KRONOS_paper,no link
DLBCL-1 benchmark (>361k annotated cells),multiplexed imaging,spatial proteomics,human,lymph node,diffuse large B-cell lymphoma,,,reused,A Foundation Model for Spatial Proteomics,10.48550/arXiv.2506.03373,2025,usr_74bab8c690a4,KRONOS_paper,no link
DLBCL-2 benchmark (>1M annotated cells),multiplexed imaging,spatial proteomics,human,lymph node,diffuse large B-cell lymphoma,,,reused,A Foundation Model for Spatial Proteomics,10.48550/arXiv.2506.03373,2025,usr_74bab8c690a4,KRONOS_paper,no link
