reason,dataset_id,dataset_name,platform,species,tissue,data_access_link,original_publication,original_publication_link
no link of any kind recorded,hasel2021_spatial_tran,Neuroinflammatory astrocyte subtypes dataset,Spatial Transcriptomics,Mouse,brain,,"Hasel et al., Neuroinflammatory astrocyte subtypes in the mouse brain, Nat Neurosci. (2021)",https://doi.org/10.1038/s41593-021-00905-6
no link of any kind recorded,aw2023_merfish,Neuropsychiatric SLE mouse brain MERFISH dataset,MERFISH,Mouse,Brain,,"Aw et al., Spatial enrichment of the type 1 interferon signature in the brain of a neuropsychiatric lupus murine model, Brain Behav Immun (2023)",
no link of any kind recorded,non_human_mammal2025_visium,"Non-human mammalian spatial transcriptomics dataset (mouse, wild boar, domesticated pig, cow)",10x Visium,"Mouse, wild boar, domesticated pig, cow",Liver,,A spatial transcriptomics atlas of live donors reveals unique zonation patterns in the healthy human liver,https://doi.org/10.1101/2025.02.22.639181
no link of any kind recorded,pal2021_scrnaseq,Normal breast tissue scRNA-seq dataset (N0233),scRNA-seq,human,normal breast tissue,,"Pal et al., A single-cell RNA expression atlas of normal, preneoplastic and tumorigenic states in the human breast, EMBO J (2021)",https://doi.org/10.3410/f.740061637.793591647
no link of any kind recorded,kumar2023_visium,Normal human breast histology and ST dataset,Visium,human,breast,,"Kumar et al., A spatially resolved single-cell genomic atlas of the adult human breast, Nature (2023)",
no link of any kind recorded,orozco2020_visium,Norwegian Picea abies female cones spatial transcriptome dataset,10x Visium,Picea abies,female cones,,"Orozco et al., A Spatial Analysis of Norwegian Spruce Cone Developmental Stages, Uppsala University (2020)",
no link of any kind recorded,yeh2024_xenium,"Ovarian Cancer datasets (CosMx, Xenium, MERFISH)",CosMx / Xenium / MERFISH,human,ovary,,"Yeh et al., Mapping spatial organization and genetic cell-state regulators to target immune evasion in ovarian cancer, Nature Immunology (2024)",https://doi.org/10.1038/s41590-024-01943-5
no link of any kind recorded,ding2020_scrnaseq,PBMC datasets,scRNA-seq,human,peripheral blood mononuclear cells,,"Ding et al., Systematic comparison of single-cell and single-nucleus RNA-sequencing methods, Nat. Biotechnol. (2020)",
no link of any kind recorded,hwang2022_geomx,PDAC neoadjuvant treatment spatial transcriptome dataset,NanoString GeoMx DSP,Human,Pancreas (pancreatic cancer / PDAC),,"Hwang et al., Single-nucleus and spatial transcriptome profiling of pancreatic cancer identifies multicellular dynamics associated with neoadjuvant treatment, Nat Genet (2022)",
no link of any kind recorded,peng2019_10x_chromium,PDAC-Peng scRNA-seq dataset,10x Chromium,Human,Pancreatic ductal adenocarcinoma,,"Peng et al., Single-cell RNA-seq highlights intra-tumoral heterogeneity and malignant progression in pancreatic ductal adenocarcinoma, Cell Res (2019)",
no link of any kind recorded,petacc8_visium_visium,PETACC8-Visium,10X Genomics Visium,Homo Sapiens,Colon Adenocarcinoma,,,
no link of any kind recorded,photon_hela_cell2025_illumina_pla,PHOTON HeLa cell and MEF stress granule transcriptome datasets,Illumina platform,mouse,ovary,,Subcellular level spatial transcriptomics with PHOTON,https://doi.org/10.1038/s41467-025-59801-3
no link of any kind recorded,yamaguchi2024_geomx,PIK3CA inhibition lupus nephritis dataset,GeoMx DSP,Human,Kidney,,"Yamaguchi et al., PIK3CA inhibition in models of proliferative glomerulonephritis and lupus nephritis, J Clin Investig (2024)",
no link of any kind recorded,pim001p_tnbc_pdx2023_visium,PIM001P TNBC PDX ST dataset,Visium,human and mouse,breast (mammary fat pad tumor),,Xenomake: a pipeline for processing and sorting xenograft reads from spatial transcriptomic experiments,https://doi.org/10.1101/2023.09.04.556109
no link of any kind recorded,pserp_spatial_pr_iss,PSERP spatial proteomic dataset (G1-G9 gliomas),LC-MS/MS (DIA) with Tissue Expansion,Human,Glioma (brain),,,
no link of any kind recorded,prregaard2023_scrnaseq,Paerregaard 2023 intestinal fibroblasts scRNA-seq,scRNA-seq,mouse,small and large intestine,,"Pærregaard et al., The small and large intestine contain related mesenchymal subsets that derive from embryonic Gli1+ precursors, Nat. Commun. (2023)",https://doi.org/10.1038/s41467-023-37952-5
no link of any kind recorded,pancreatic_ducta2024_unknown,Pancreatic ductal adenocarcinoma (PDAC) dataset,,human,pancreatic ductal adenocarcinoma,,SPACE: Spatially variable gene clustering adjusting for cell type effect for improved spatial domain detection,https://doi.org/10.1101/2024.08.23.609477
no link of any kind recorded,perturb_dbit_dat_dbit,"Perturb-DBiT dataset (SMARTA TCR transgenic spleen, B16-OVA mouse tumor, autochthonous mouse liver tumors, HT-29 lung metastatic colonization, and E0771 syngeneic lung colonization)",Perturb-DBiT,"Mouse, Human","Spleen, tumor, liver, lung",,,
no link of any kind recorded,perturb_fish_asd_merfish,Perturb-FISH ASD risk genes dataset,MERFISH,human,THP1-derived macrophages,,,
no link of any kind recorded,perturb_fish_asd2023_merfish,Perturb-FISH ASD risk genes dataset in human iPSC-derived astrocytes,Perturb-FISH / MERFISH,Human,THP1-derived macrophages,,"Simultaneous CRISPR screening and spatial transcriptomics reveals intracellular, intercellular, and functional transcriptional circuits",https://doi.org/10.1101/2023.11.30.569494
no link of any kind recorded,perturb_fish_tum_merfish,Perturb-FISH Tumor xenograft screen,MERFISH,Human,THP1-derived macrophages (cultured),,,
no link of any kind recorded,perturb_raefish_2025_merfish,Perturb-RAEFISH A549 dataset,RAEFISH / MERFISH,Human,Cell culture (A549),,Sequencing-free whole genome spatial transcriptomics at molecular resolution in intact tissue,https://doi.org/10.1101/2025.03.06.641951
no link of any kind recorded,dhainaut2022_spatial_tran,Perturb-map lung spatial functional genomics dataset,Spatial Transcriptomics,Mouse,lung,,"Dhainaut et al., Spatial CRISPR genomics identifies regulators of the tumor microenvironment, Cell. (2022)",https://doi.org/10.1016/j.cell.2022.02.015
no link of any kind recorded,perturbspace_liv2026_perturbspace,PerturbSpace liver cytokine overexpression spatial perturbation dataset,PerturbSpace (antibody-based cell hashing with 10x Genomics 3' GEM-X),mouse,kidney and liver,,"Spatially resolved, multimodal in vivo Perturb-seq using antibody-based cell hashing",https://doi.org/10.64898/2026.05.25.727765
no link of any kind recorded,phenocycler_fusi_phenocycler,PhenoCycler Fusion,PhenoCycler Fusion,human,breast cancer,,,
no link of any kind recorded,phenocycler_fusi2023_phenocycler,PhenoCycler Fusion dataset,Phenocycler Fusion (protein-based),,breast cancer,,A machine learning one-class logistic regression model to predict stemness for single cell transcriptomics and spatial omics,https://doi.org/10.1186/s12864-023-09722-6
no link of any kind recorded,dylag2023_phenocycler,PhenoCycler multiplexed immunofluorescence assays (WSI-MxF) of BPD lung tissue,PhenoCycler multiplexed immunofluorescence assay,human,lung,,"Dylag et al., New insights into the natural history of bronchopulmonary dysplasia from proteomics and multiplexed immunohistochemistry, Am. J. Physiol. Lung Cell. Mol. Physiol. (2023)",https://doi.org/10.1152/ajplung.00130.2023
no link of any kind recorded,phenocycler_fusi_phenocyclerf,PhenoCycler-Fusion (PCF),PhenoCycler-Fusion,human,head and neck squamous cell carcinoma (HNSCC),,,
no link of any kind recorded,lv2024_spatial_tran,Poplar root regeneration spatial transcriptome,Spatial transcriptomics,Populus,roots,,"Lv et al., Spatial transcriptome analysis reveals de novo regeneration of poplar roots, Hortic. Res. (2024)",https://doi.org/10.1093/hr/uhae237
no link of any kind recorded,du2023_spatial_tran,Poplar secondary vascular tissue spatial transcriptome,Spatial transcriptomics,Populus,poplar stem secondary vascular tissue,,"Du et al., High-resolution anatomical and spatial transcriptome analyses reveal two types of meristematic cell pools within the secondary vascular tissue of poplar stem, Mol. Plant (2023)",https://doi.org/10.1016/j.molp.2023.03.005
no link of any kind recorded,morenovillena2022_visium,Portulaca C4+CAM spatial transcriptomics dataset,10× Genomics Visium,Portulaca,,,"Moreno-Villena et al., Spatial resolution of an integrated C4+CAM photosynthetic metabolism, Sci. Adv. (2022)",
no link of any kind recorded,morenovillena2022_spatial_tran,Portulaca oleracea spatial transcriptome,Spatial transcriptomics,Portulaca oleracea,leaves,,"Moreno-Villena et al., Spatial resolution of an integrated C4+ CAM photosynthetic metabolism, Sci. Adv. (2022)",https://doi.org/10.3410/f.742268306.793594711
no link of any kind recorded,post_lvad_heart_2025_visium,Post-LVAD heart failure Visium dataset,Visium,human,heart,,Thor: a platform for cell-level investigation of spatial transcriptomics and histology,https://doi.org/10.1038/s41467-025-62593-1
no link of any kind recorded,post_lvad_heart__visium,Post-LVAD heart failure samples,Visium,human,heart,,,
no link of any kind recorded,joglekar2021_spatial_tran,Postnatal mouse brain isoform atlas dataset,Spatial Transcriptomics,Mouse,brain,,"Joglekar et al., A spatially resolved brain region- and cell typespecific isoform atlas of the postnatal mouse brain, Nat Commun. (2021)",
no link of any kind recorded,joglekar2021_spatial_tran_2,Postnatal mouse brain isoform atlas dataset,spatial transcriptomics and long-read sequencing,Mouse,brain,,"Joglekar et al., A spatially resolved brain region- and cell typespecific isoform atlas of the postnatal mouse brain, Nat Commun. (2021)",
no link of any kind recorded,rui2021_visium,Primary liver cancer (PLC) dataset,Visium,Human,Liver cancer,,"Rui et al., Comprehensive analysis of spatial architecture in primary liver cancer, Sci Adv (2021)",
no link of any kind recorded,figiel2023_visium,Prostate cancer dataset,Visium,human,prostate biopsy,,"Figiel et al., Spatial transcriptomic analysis of virtual prostate biopsy reveals confounding effect of tissue heterogeneity on genomic signatures, Mol. Cancer (2023)",https://doi.org/10.1186/s12943-023-01863-2
no link of any kind recorded,erickson2022_visium,Prostate cancer dataset,Visium H&E and Spatial Transcriptomics,,prostate,,"Erickson et al., Spatially resolved clonal copy number alterations in benign and malignant tissue, Nature (2022)",https://doi.org/10.1016/j.eururo.2022.11.013
no link of any kind recorded,prostate_cancer__st,Prostate cancer dataset,OPAL multiplex immunohistochemistry (IHC),Human,Prostate,,,
no link of any kind recorded,wang2023_mass_spectro,Proteogenomics and multi-omics dataset of 213 glioma patients,Mass spectrometry proteomics and WES/RNA-seq,Human,Diffuse gliomas (brain),,"Wang et al., Proteogenomics of diffuse gliomas reveal molecular subtypes associated with specific therapeutic targets and immune-evasion mechanisms, Nat Commun (2023)",https://doi.org/10.1038/s41467-026-76428-0
no link of any kind recorded,rivellese2022_geomx,R4RA trial rheumatoid arthritis synovial biopsy dataset,GeoMx DSP,Human,Synovium,,"Rivellese et al., Rituximab versus tocilizumab in rheumatoid arthritis: synovial biopsy-based biomarker analysis of the phase 4 R4RA randomized trial, Nat Med (2022)",
no link of any kind recorded,magen2022_merfish,RCC cellular triads MERFISH spatial dataset,MERFISH,,Renal cell cancer (RCC),,"Magen et al., Intratumoral mregDC and CXCL13 T helper niches enable local differentiation of CD8 T cells following PD-1 blockade, bioRxiv (2022)",
no link of any kind recorded,chakravorty2024_seqfish,RNA SeqFISH+ mouse testis data,SeqFISH+,mouse,testis,,"Chakravorty et al., Spatial transcriptomics reveals the temporal architecture of the seminiferous epithelial cycle and precise sertoli-germ synchronization, bioRxiv (2024)",
no link of any kind recorded,rna_tomography_t_tomo,RNA tomography (TOMOseq),TOMOseq,mouse,tibialis anterior muscle,,,
no link of any kind recorded,rnascope_single_2023_rnascope,RNAscope single molecule FISH,RNAscope,human,thymus,,A spatial human thymus cell atlas mapped to a continuous tissue axis,https://doi.org/10.1101/2023.10.25.562925
no link of any kind recorded,rnascope_single_2024_rnascope,RNAscope single-molecule fluorescence in situ hybridization,RNAscope,human,thymus,,A spatial human thymus cell atlas mapped to a continuous tissue axis,https://doi.org/10.1038/s41586-024-07944-6
no link of any kind recorded,rarecyte_multipl2023_rarecyte_ori,RareCyte multiplex imaging,RareCyte Orion,human,thymus,,A spatial human thymus cell atlas mapped to a continuous tissue axis,https://doi.org/10.1101/2023.10.25.562925
no link of any kind recorded,rarecyte_protein2024_rarecyte_pro,RareCyte protein imaging,RareCyte protein imaging,human,thymus,,A spatial human thymus cell atlas mapped to a continuous tissue axis,https://doi.org/10.1038/s41586-024-07944-6
no link of any kind recorded,ren2023_visium,Ren et al. 2023,10X Visium,human,malignant gliomas,,"Ren et al., Spatial transcriptomics reveals niche-specific enrichment and vulnerabilities of radial glial stem-like cells in malignant gliomas, Nat. Commun. (2023)",https://doi.org/10.1038/s41467-023-36707-6
no link of any kind recorded,resolve_smfish_m2023_resolve_bios,Resolve smFISH Molecular Cartography Dataset,Resolve Biosciences smFISH,human,breast tissue,,A spatially resolved single cell genomic atlas of the adult human breast,https://doi.org/10.1101/2023.04.22.537946
no link of any kind recorded,carlberg2019_in_situ_spat,Rheumatoid arthritis and psoriatic arthritis synovial biopsies dataset,In situ spatial barcoding,Human,Synovium,,"Carlberg et al., Exploring inflammatory signatures in arthritic joint biopsies with Spatial Transcriptomics, Sci Rep (2019)",
no link of any kind recorded,wang2025_spatial_tran,Rice leaf Magnaporthe oryzae infection spatial map,Spatial transcriptomics,Oryza sativa,leaf,,"Wang et al., Single-Cell and Spatial Transcriptomics Reveals a Stereoscopic Response of Rice Leaf Cells to Magnaporthe oryzae Infection, Adv. Sci. (2025)",https://doi.org/10.1002/advs.202416846
no link of any kind recorded,zhong2025_spatial_tran,Rice root spatial atlas (dryland adaptation),Spatial transcriptomics,Oryza sativa,coleoptilar nodes and root tips,,"Zhong et al., Comparative spatial transcriptomics reveals root dryland adaptation mechanism in rice and HMGB1 as a key regulator, Mol. Plant (2025)",https://doi.org/10.1016/j.molp.2025.04.001
no link of any kind recorded,dunkley2006_mass_spectro,Root Callus dataset,mass spectrometry (LOPIT),,Root Callus,,"Dunkley et al., Mapping the Arabidopsis organelle proteome, Proc Natl Acad Sci U S A (2006)",https://doi.org/10.3410/f.1040272.489213
no link of any kind recorded,groen2014_mass_spectro,Root dataset,mass spectrometry,,Root tissue,,"Groen et al., Identification of trans-golgi network proteins in Arabidopsis thaliana root tissue, J Proteome Res (2014)",https://doi.org/10.1021/pr4008464
no link of any kind recorded,s4p_spatial_prot_st,S4P Spatial Proteomics,LC-MS/MS (timsTOF Pro2),mouse,brain,,,
no link of any kind recorded,desai2020_unknown,SARS-CoV-2 pulmonary infection lung response dataset,,,lung,,"Desai et al., Temporal and spatial heterogeneity of host response to SARS-CoV-2 pulmonary infection, Nature Communications (2020)",
no link of any kind recorded,ma2020_shareseq,SHARE-seq mouse brain dataset,SHARE-seq,mouse,brain,,"Ma et al., Chromatin potential identified by shared single-cell profiling of RNA and chromatin, Cell (2020)",https://doi.org/10.3410/f.738883185.793582113
no link of any kind recorded,space_spheroid_s2025_cosmx,SPACE spheroid spatial CRISPR dataset (6K RNA + CRISPR and WTX + CRISPR and multimodal),CosMx Spatial Molecular Imaging,human,cancer-associated fibroblast (CAF)-tumor spheroids,,SPACE: multimodal spatial CRISPR screening with whole-transcriptome readout at subcellular resolution in 3D models,https://doi.org/10.1101/2025.09.14.675819
no link of any kind recorded,wu2021_mibi,SREF_00044,MIBI-TOF,Human,Breast,,"Wu et al., A single-cell and spatially resolved atlas of human breast cancers, Nat. Genet. (2021)",
no link of any kind recorded,andersson2020_st,ST(human positive breast tumors),ST,Human,breast tumors,,"Andersson et al., Spatial deconvolution of HER2-positive breast tumors reveals novel intercellular relationships (2020)",https://doi.org/10.1101/2020.07.14.200600
no link of any kind recorded,li2019_starmap,STARmap 8-gene data,STARmap,,cardiac organoid,,"Li et al., Cyborgorganoids: Implantation of nanoelectronics via organogenesis for tissue-wide electrophysiology, Nano Letters (2019)",
no link of any kind recorded,zeng2023_starmap_2,STARmap PLUS dataset (AD and control mouse brains),STARmap PLUS,mouse,brain,,"Zeng et al., Machine learning and single-cell transcriptomics reveal molecular signatures of Alzheimer's disease, Nat. Neurosci. (2023)",
no link of any kind recorded,starmap_mouse_vi_starmap,STARmap mouse visual cortex dataset,STARmap,mouse,visual cortex,,,
no link of any kind recorded,chen2024_unknown,STImage-1K4M,,,,,"Chen et al., Stimage-1k4m: A histopathology image-gene expression dataset for spatial transcriptomics, Advances in Neural Information Processing Systems (2024)",https://doi.org/10.52202/079017-1129
no link of any kind recorded,xu2024_visium_3,Sagittal mouse brain dataset (Sections 1 and 2),10x Visium,Mouse,Brain,,"Xu et al., SpaOTsc: integration of spatial transcriptomics with single-cell transcriptomics by optimal transport, Genome Medicine (2024)",
no link of any kind recorded,guillozetbongaarts2014_unknown,Schizophrenia Study,,,dorsolateral prefrontal cortex,,"Guillozet-Bongaarts et al., Altered gene expression in the dorsolateral prefrontal cortex of individuals with schizophrenia, Molecular psychiatry (2014)",
no link of any kind recorded,gabitto2023_merfish,Seattle Alzheimer’s Disease Brain Cell Atlas (SEA-AD) dataset,MERFISH,,middle temporal gyrus,,"Gabitto et al., Integrated multimodal cell atlas of alzheimer’s disease, Research Square (2023)",https://doi.org/10.69645/tyxk1457
no link of any kind recorded,nagasawa2021_visium,Sections A-C and D1-D3 human breast cancer dataset,Visium,Human,Breast (ductal carcinoma in situ),,"Nagasawa et al., Genomic profiling reveals heterogeneous populations of ductal carcinoma in situ of the breast, Commun Biol (2021)",https://doi.org/10.1038/s42003-021-01959-9
no link of any kind recorded,kim2024_seqscope,Seq-Scope NOVASEQ (mouse liver dataset),Seq-Scope,mouse,liver,,"Kim et al., Seq-Scope: repurposing Illumina sequencing flow cells for high-resolution spatial transcriptomics, Nat Protoc (2024)",
no link of any kind recorded,cho2021_seqscope_2,Seq-Scope dataset,Seq-Scope,,,,"Cho et al., Micrsocopic examination of spatial transcriptome using Seq-Scope, Cell (2021)",
no link of any kind recorded,hsu2024_seqscope,Seq-Scope dataset of mouse soleus muscle,Seq-Scope,Mus musculus,Soleus,,"Hsu et al., High-resolution spatial transcriptomic atlas of mouse soleus muscle: unveiling single cell and subcellular heterogeneity in health and denervation, bioRxiv (2024)",https://doi.org/10.1101/2024.02.26.582103
no link of any kind recorded,seq_scope_mouse__seqscope,Seq-Scope mouse colon dataset,Seq-Scope,mouse,colon,,,
no link of any kind recorded,seq_scope_x_dmaa_st,Seq-Scope-X DMAA mouse spleen proteome dataset,Seq-Scope-X with DMAA chemistry (Proteomics),mouse,spleen,,,
no link of any kind recorded,seq_scope_x_live_seqscopex,Seq-Scope-X liver dataset,Seq-Scope-X,mouse,liver,,,
no link of any kind recorded,seq_scope_x_mous_seqscopex_pr,Seq-Scope-X mouse spleen proteome dataset,Seq-Scope-X (Proteomics),mouse,spleen,,,
no link of any kind recorded,liu2024_unknown_2,Single-Cell Spatial Transcriptomics dataset from Liu et al.,,,kidney,,"Liu et al., Single-Cell Spatial Transcriptomics Unveils Platelet-Fueled Cycling Macrophages for Kidney Fibrosis, Adv. Sci. (2024)",https://doi.org/10.1681/asn.2024ea1nf93g
no link of any kind recorded,li2021_singlecell_r,Single-cell RNA sequencing data of human limbal epithelial stem cells (LESCs),single-cell RNA sequencing,human,limbal basal epithelium / human cornea,,"Li et al., Single-cell transcriptomics identifies limbal stem cell population and cell types mapping its differentiation trajectory in limbal basal epithelium of human cornea, Ocul Surf (2021)",https://doi.org/10.1016/j.jtos.2020.12.004
no link of any kind recorded,habermann2020_singlecell_r_2,Single-cell RNA sequencing dataset of IPF and control lungs,Single-cell RNA sequencing,Human,Lung,,"Habermann et al., Single-cell RNA sequencing reveals profibrotic roles of distinct epithelial and mesenchymal lineages in pulmonary fibrosis, Sci. Adv. (2020)",
no link of any kind recorded,single_cell_and_2023_illumina_his,Single-cell and spatial transcriptome sequencing data of mouse hippocampus,Illumina HiSeq X10 PE150,mouse,hippocampus,,Spatial Transcriptome Profiling of Mouse Hippocampal Single Cell Microzone in Parkinson’s Disease,https://doi.org/10.3390/ijms24031810
no link of any kind recorded,single_nuclei_rn_10x_chromium,Single-nuclei RNA sequencing dataset (G1-G3 gliomas),10X Chromium,Human,Glioma (brain),,,
no link of any kind recorded,single_nuclei_du2024_10x_chromium,Single-nuclei dual-omic human developing retina atlas,10X Chromium sn-dual-omic ATAC + Gene Expression,human,macula and peripheral retina,,Single cell dual-omic atlas of the human developing retina,https://doi.org/10.1038/s41467-024-50853-5
no link of any kind recorded,mauduit2022_visium,Sjogren’s syndrome lacrimal/salivary gland dataset,Visium,Mouse,Salivary gland,,"Mauduit et al., Spatial transcriptomics of the lacrimal gland features macrophage activity and epithelium metabolism as key alterations during chronic inflammation, Front Immunol (2022)",
no link of any kind recorded,ptacek2021_mibi,Skin cancer dataset,MIBI,,Skin,,"Ptacek et al., 52 characterization of the tumor microenvironment in melanoma using multiplexed ion beam imaging (mibi), Journal for ImmunoTherapy of Cancer (2021)",
no link of any kind recorded,engblom2023_visium,Sleep apnea tonsil sample dataset,Visium,human,tonsil,,"Engblom et al., Spatial transcriptomics of B cell and T cell receptors reveals lymphocyte clonal dynamics, Science (2023)",https://doi.org/10.1126/science.adf8486
no link of any kind recorded,liu2022_slidetcrseq,Slide-TCR-seq thymus dataset,Slide-TCR-seq,mouse,thymus,,"Liu et al., Spatial maps of T cell receptors and transcriptomes reveal distinct immune niches and interactions in the adaptive immune response, Immunity (2022)",
no link of any kind recorded,stickels2020_slideseq_2,Slide-seq v2 mouse hippocampus data,Slide-seq v2,mouse,hippocampus,,"Stickels et al., Sensitive spatial genome wide expression profiling at cellular resolution (2020)",https://doi.org/10.1101/2020.03.12.989806
no link of any kind recorded,slide_seq22023_slideseq,Slide-seq2,Slide-seq2,human,kidney,,An atlas of healthy and injured cell states and niches in the human kidney,https://doi.org/10.1038/s41586-023-05769-3
no link of any kind recorded,slide_seqv2_huma_slideseq,Slide-seqV2 human and mouse kidney atlas dataset,Slide-seqV2,human and mouse,kidney tissue (cortex and medulla),,,
no link of any kind recorded,slide_seqv2_huma2022_slideseq,"Slide-seqV2 human and mouse kidney spatial transcriptomic atlas (Marshall et al., 2021)",Slide-seqV2,human and mouse,kidney,,Principles of Spatial Transcriptomics Analysis: A Practical Walk-Through in Kidney Tissue,https://doi.org/10.3389/fphys.2021.809346
no link of any kind recorded,hirz2023_slideseq,Slide-seqV2 human prostate tumor dataset,Slide-seqV2,human,prostate,,"Hirz et al., Dissecting the immune suppressive human prostate tumor microenvironment via integrated single-cell and spatial transcriptomic analyses, Nat Commun (2023)",https://doi.org/10.1038/s41467-023-36325-2
no link of any kind recorded,russell2024_slidetag,Slide-tag dataset,Slide-tag,human,tumor,,"Russell et al., Slide-tags enables single-nucleus barcoding for multimodal spatial genomics, Nature (2024)",https://doi.org/10.1038/s41586-023-06837-4
no link of any kind recorded,hodge2019_smartseq,Smart-seq human middle temporal gyrus dataset,Smart-seq,Human,middle temporal gyrus,,"Hodge et al., Conserved cell types with divergent features in human versus mouse cortex, Nature (2019)",https://doi.org/10.3410/f.736463800.793571577
no link of any kind recorded,italiano2022_geomx,Soft-tissue sarcomas pembrolizumab spatial dataset,NanoString GeoMx DSP,Human,Soft-tissue sarcomas,,"Italiano et al., Pembrolizumab in soft-tissue sarcomas with tertiary lymphoid structures: a phase 2 PEMBROSARC trial cohort, Nat Med (2022)",
no link of any kind recorded,zhang2025_spatial_mult,Soybean multi-omic single-cell atlas,Spatial multi-omics,Glycine max,ten tissues (including seed and embryo),,"Zhang et al., A spatially resolved multi-omic single-cell atlas of soybean development, Cell (2025)",https://doi.org/10.1016/j.cell.2024.10.050
no link of any kind recorded,liu2023_spatial_tran,Soybean nodule-root spatial atlas,Spatial transcriptomics,Glycine max,nodule and root,,"Liu et al., Integrated single-nucleus and spatial transcriptomics captures transitional states in soybean nodule maturation, Nat. Plants (2023)",https://doi.org/10.1101/2022.06.30.498286
no link of any kind recorded,space_trex_spati2022_visium,Space-TREX spatial transcriptomics dataset,10x Genomics Visium Spatial Gene Expression Kit,mouse,brain,,Clonal relations in the mouse brain revealed by single-cell and spatial transcriptomics,https://doi.org/10.1038/s41593-022-01011-x
no link of any kind recorded,spatial_atac_rna_dbit,"Spatial ATAC-RNA-seq and Spatial CUT&Tag-RNA-seq data (E13 mouse embryo, juvenile P21/P22 mouse brain, adult human hippocampus)",DBiT-seq,Mouse and human,"Embryonic mouse embryo, juvenile mouse brain, adult human brain hippocampus",,,
no link of any kind recorded,tian2024_spatial_atac,Spatial ATAC-seq mouse embryonic brain tissues dataset,spatial ATAC-seq,Mouse,embryonic brain tissues,,"Tian et al., Spatially resolved chromatin accessibility profiling of mouse embryonic brain tissues at single-cell resolution, Nat Methods (2024)",
no link of any kind recorded,lzr2024_merfish,Spatial Dynamics of Developing Human Heart,MERFISH,Human,Human embryonic heart,,"Lázár et al., Spatial Dynamics of the Developing Human Heart, bioRxiv (2024)",
no link of any kind recorded,spatial_transcri2021_visium,Spatial Transcriptomics (10X Visium) lung tumor dataset,10X Visium,mouse,lung,,Perturb-map enables CRISPR genomics with spatial resolution and identifies regulators of tumor immune composition,https://doi.org/10.1101/2021.07.13.451021
no link of any kind recorded,spatial_transcri_spatial_tran,Spatial Transcriptomics data (RA1-6),Spatial Transcriptomics,human,synovium,,,
no link of any kind recorded,spatial_transcri_visium_8,Spatial Transcriptomics dataset,Visium,human,testicular diffuse large B-cell lymphoma (PT-DLBCL),,,
no link of any kind recorded,spatial_transcri2021_spatial_tran,Spatial Transcriptomics liver sections,Spatial Transcriptomics,mouse,liver,,Spatial Transcriptomics to define transcriptional patterns of zonation and structural components in the mouse liver,https://doi.org/10.1038/s41467-021-27354-w
no link of any kind recorded,spatial_transcri2024_visium,Spatial Transcriptomics liver sections (Visium data generated in this study),Visium,human,liver,,Spatial and Single‐Cell Transcriptomics Reveals the Regional Division of the Spatial Structure of  MASH  Fibrosis,https://doi.org/10.1111/liv.16125
no link of any kind recorded,li2024_unknown,Spatial metabolomics and single-cell ATAC/RNA sequencing dataset from Li et al.,,human,kidney,,"Li et al., Transcriptomic, epigenomic, and spatial metabolomic cell profiling redefines regional human kidney anatomy, Cell Metab. (2024)",https://doi.org/10.1016/j.cmet.2024.02.015
no link of any kind recorded,kuppe2022_spatial_tran,Spatial multi-omic map of human MI (Myocardial Infarction),Spatial Transcriptomics,Human,Human infarcted heart,,"Kuppe et al., Spatial multi-omic map of human myocardial infarction, Nature (2022)",https://doi.org/10.3410/f.742275067.793594761
no link of any kind recorded,de2024_unknown,Spatial transcriptomics dataset of LUAD and LUSC (De Zuani et al.),,,Tumor,,"De Zuani et al., Single-cell and spatial transcriptomics analysis of non-small cell lung cancer, Nat Commun (2024)",https://doi.org/10.1016/j.tranon.2026.102853
no link of any kind recorded,spatial_cite_seq_spatialcites,Spatial-CITE-seq mouse tissue dataset,Spatial-CITE-seq,mouse,"spleen, colon, intestine, kidney",,,
no link of any kind recorded,deng2022_spatialcutta_3,Spatial-CUT&Tag dataset,Spatial-CUT&Tag,,,,"Deng et al., Spatial-CUT&Tag: Spatially resolved chromatin profiling at the cellular level, Science (2022)",
no link of any kind recorded,spatialhuman30m_visiumhd,SpatialHuman30M,"Visium, Visium HD, Xenium, and MERFISH",Human,"Multiple organs and tissues (including lung, breast, colon, kidney, uterus, tonsil, prostate, liver, brain, ovary, pancreas, skin)",,scGPT-spatial: Continual Pretraining of Single-Cell Foundation Model for Spatial Transcriptomics,https://doi.org/10.1101/2025.02.05.636714
no link of any kind recorded,shi2024_unknown,SpatialTME,,,,,"Shi et al., The web-based portal spatialtme integrates histological images with single-cell and spatial transcriptomics to explore the tumor microenvironment, Cancer Research (2024)",https://doi.org/10.1158/0008-5472.c.7181280
no link of any kind recorded,thornton2021_unknown,Spatially mapped single-cell chromatin accessibility dataset,,,,,"Thornton et al., Spatially mapped single-cell chromatin accessibility, Nat. Commun. (2021)",
no link of any kind recorded,cheung2022_unknown,Spatially resolved gene expression profiling dataset from Cheung et al.,,,kidney,,"Cheung et al., Resident macrophage subpopulations occupy distinct microenvironments in the kidney, JCI Insight (2022)",https://doi.org/10.1172/jci.insight.161078
no link of any kind recorded,kanemaru2025_spatial_tran,Spatially resolved multiomics of human cardiac niches,Spatial Transcriptomics,Human,Adult human heart,,"Kanemaru et al., Spatially resolved multiomics of human cardiac niches, Nature (2025)",https://doi.org/10.1038/s44161-023-00327-6
